cpu_infer,round,dataset_name,file_name,prompt_eval_count,prompt_eval_duration,prompt_eval_rate,eval_count,eval_duration,eval_rate
10,0,triviaqa,0,18,2.2803022861480713,7.893690283671089,100,32.39390563964844,3.0870004102748654
10,0,triviaqa,1,14,1.5208501815795898,9.205377472131593,56,17.81050419807434,3.1442119424139987
10,0,triviaqa,2,14,1.5215568542480469,9.201102121759885,56,17.864414930343628,3.1347234274591953
10,0,triviaqa,3,15,1.6067686080932617,9.335507256269072,76,24.322371006011963,3.124695367125781
10,0,triviaqa,4,14,1.5315687656402588,9.140954238608687,100,31.81000304222107,3.143665213337801
10,0,flores101,0,51,3.844149112701416,13.266915123425205,100,31.942671298980713,3.130608553805924
10,0,flores101,1,41,3.2774946689605713,12.509555053831038,100,31.893547534942627,3.13543044687769
10,0,flores101,2,44,3.4110169410705566,12.899378912551072,100,32.18942999839783,3.106609840714089
10,0,flores101,3,60,4.335804224014282,13.838263191793587,100,32.18868613243103,3.106681633061348
10,0,flores101,4,37,3.065138339996338,12.071233300368494,100,31.927843809127808,3.13206242794921
10,0,xsum,33578778,453,27.078938722610474,16.728868314981355,100,31.569340467453003,3.167630318507821
10,0,xsum,36232142,491,29.229520797729492,16.7980858597634,100,31.565075397491455,3.1680583284127755
10,0,xsum,36266422,330,19.81337308883667,16.655417455694604,100,31.268920421600342,3.1980637211549117
10,0,xsum,36888270,380,22.867428302764893,16.617522310283327,100,31.395166873931885,3.1852036462030164
10,0,xsum,40143035,180,11.187767505645752,16.089000768845573,100,31.533844470977783,3.1711959539863632
10,0,gsm8k,0,66,4.627601861953735,14.262246832992531,100,31.405381679534912,3.184167637904056
10,0,gsm8k,1,61,4.4069983959198,13.841620649664085,100,30.82944416999817,3.243652381424233
10,0,gsm8k,2,105,6.9548563957214355,15.097364205045995,100,30.941779851913452,3.231876138948612
10,0,gsm8k,3,105,6.958019018173218,15.090502012966194,100,30.79411268234253,3.2473739714974936
10,0,gsm8k,4,66,4.687999248504639,14.078500550325908,100,30.7256178855896,3.254613149599191
10,0,awesome_chatgpt_prompts,0,104,6.832987308502197,15.220282916462343,100,31.165207862854004,3.2087063381724015
10,0,awesome_chatgpt_prompts,1,175,10.879137992858887,16.085833281540392,100,30.873515605926514,3.239022120979442
10,0,awesome_chatgpt_prompts,2,96,6.380038022994995,15.04693226811437,6,2.1142585277557373,2.8378743286276045
10,0,awesome_chatgpt_prompts,3,132,8.414909839630127,15.686442578189524,11,3.5452985763549805,3.102700594348644
10,0,awesome_chatgpt_prompts,4,101,6.362912893295288,15.87323317067965,32,9.943572282791138,3.2181593385086424
10,0,humaneval,0,73,4.875856399536133,14.971728865301467,100,30.39448571205139,3.290070473551394
10,0,humaneval,1,103,6.539304971694946,15.750909377346726,100,30.47989273071289,3.280851441423728
10,0,humaneval,2,103,6.456521987915039,15.952861338161584,100,30.407592296600342,3.2886523544707056
10,0,humaneval,3,84,5.468697786331177,15.360146653185906,100,30.281641483306885,3.3023308876807813
10,0,humaneval,4,83,5.387517690658569,15.40598189476276,100,30.298550128936768,3.3004879631020545
10,1,triviaqa,0,18,2.2629382610321045,7.954260312780417,100,32.782723903656006,3.050387158000857
10,1,triviaqa,1,14,1.490649700164795,9.391877916355712,56,18.01222586631775,3.108999432697438
10,1,triviaqa,2,14,1.4803078174591064,9.457492445071649,56,17.834556818008423,3.1399714930653095
10,1,triviaqa,3,15,1.54538893699646,9.706294409712317,87,27.646573066711426,3.146863800807002
10,1,triviaqa,4,14,1.4612972736358643,9.5805283788469,100,31.679787158966064,3.1565868639902726
10,1,flores101,0,51,3.853013038635254,13.236394346089293,100,31.81092619895935,3.1435739838116175
10,1,flores101,1,41,3.2392139434814453,12.657391797941566,100,31.781418561935425,3.1464926527782464
10,1,flores101,2,44,3.4176294803619385,12.874420779908608,100,31.633450269699097,3.161210653514692
10,1,flores101,3,60,4.355436563491821,13.77588655588111,100,31.69251537322998,3.155319128896533
10,1,flores101,4,37,3.0031235218048096,12.32050554409558,100,31.825315713882446,3.1421526466233685
10,1,xsum,33578778,453,27.219274759292603,16.642618291853893,100,31.81492018699646,3.1431793451700205
10,1,xsum,36232142,491,29.337971210479736,16.73599024545403,100,31.412466764450073,3.183449448585534
